"","Drone2_1","Drone2_2","Drone2_3","Drone2_4","Drone2_5","Drone2_6","Drone4_1","Drone4_2","Drone4_3","Drone4_4","Drone4_5","Drone4_6","Queen2_1","Queen2_2","Queen2_3","Queen2_4","Queen2_5","Queen2_6","Queen4_1","Queen4_2","Queen4_3","Queen4_4","Queen4_5","Queen4_6","Worker2_1","Worker2_2","Worker2_3","Worker2_4","Worker2_5","Worker2_6","Worker4_1","Worker4_2","Worker4_3","Worker4_4","Worker4_5","Worker4_6"
"LOC113219323",4.08746284125034,3.90689059560852,4,4.08746284125034,4.4594316186373,4.4594316186373,3.70043971814109,2.58496250072116,3.70043971814109,3.4594316186373,2.32192809488736,3.90689059560852,3.58496250072116,4.24792751344359,2.32192809488736,4.16992500144231,3.32192809488736,3.70043971814109,3.16992500144231,3,3.16992500144231,2,2.58496250072116,2.32192809488736,3.70043971814109,3.70043971814109,3.70043971814109,3.4594316186373,3.90689059560852,2.8073549220576,2.32192809488736,2,2.58496250072116,2.32192809488736,1.58496250072116,2.8073549220576
"LOC100578514",9.87805091272854,11.7439928610602,11.667111542075,10.2455527062557,11.5386739530827,10.951284714967,9.31741261376487,11.2401950539799,9.9901039638575,8.84549005094438,11.4542992936199,7.97154355395077,11.9954138522252,10.951284714967,9.9915218460757,9.74651432113846,10.7151040092362,10.7414669864011,10.4522412404308,5.39231742277876,4.95419631038687,8.36632221424582,7.22881869049588,9.90086680798075,11.4434616122274,10.4614794472862,9.11894107272351,9.81538329581354,10.1318569606088,11.120237877342,7.61470984411521,7.02236781302845,7.58496250072116,8.05528243550119,7.467605550083,7.40087943628218
"LOC100578296",3.4594316186373,5,4,4.08746284125034,5.35755200461808,4.08746284125034,4.90689059560852,5.28540221886225,4,5.55458885167764,5.95419631038687,4.24792751344359,4.39231742277876,4.4594316186373,4.70043971814109,4.75488750216347,5.39231742277876,4.64385618977472,3.8073549220576,4.52356195605701,5.90689059560852,4.58496250072116,4.75488750216347,5.24792751344359,4.90689059560852,5.49185309632967,5.28540221886225,5.93073733756289,4.39231742277876,5.88264304936184,6.08746284125034,6.4262647547021,5.85798099512757,6.76818432477693,6.6582114827518,6.12928301694497
"LOC409598",9.96578428466209,11.283088353024,11.4299297413533,11.1996723448364,11.652844973002,12.4054074222192,10.4387918525783,11.0285967770671,9.44708322620965,10.3674147512468,11.4486325677306,11.1705510353167,11.9607259948391,11.2673719312653,11.3641346550081,11.2650289424582,11.2877123795494,11.6746336617673,9.78790255939143,8.65105169117893,8.13442632022093,8.49185309632967,8.55074678538324,9.04165915163721,10.6393407086522,11.9076418036655,10.2538474849874,9.62388149001346,10.1150436501617,10.6978363579624,9.25974326369078,8.98013957763916,9.00281501560705,9.64745842645492,9.24317398347295,9.31288295528435
"LOC725272",9.42836017270429,9.70908381255034,9.64205169292798,8.98868468677217,9.41151098801207,8.77807712953536,9.92184093707449,9.93221475196838,9.09275714091985,9.26209484537018,9.38154295118458,9.47167521439204,9.4655664048094,9.45532722030456,9.38154295118458,8.32192809488736,9.93663793900257,9.31061278165953,8.35755200461808,7.5077946401987,8.49185309632967,8.09275714091985,8.14974711950468,8.28540221886225,8.27146302790437,8.64385618977473,7.94251450533924,8.59618975614441,8.4093909361377,8.50382573799575,9.7279204545632,10.3309168781146,10.0980320829605,10.2609195336629,10.3858624006415,10.0848083878044
"LOC411772",9.25266543245025,9.30833903013941,9.47775826644389,9.6724253419715,9.14974711950468,9.27612440527424,8.64385618977473,7.44294349584873,7.93073733756289,7.89481776330794,7.71424551766612,7.61470984411521,9.06069593168755,8.67948009950545,9.24792751344359,8.9915218460757,8.91587937883577,9.211888294546,6.59991284218713,6.22881869049588,6.78135971352466,6.24792751344359,6.4093909361377,5.49185309632967,8.65105169117893,8.876516946565,8.57364718749332,8.38370429247405,8.78135971352466,8.57742882803575,7.05528243550119,6.9188632372746,6.97727992349992,7.34872815423108,6.6582114827518,6.61470984411521
"LOC725233",9.2240016741981,8.66533591718518,9.20701432017753,9.15734693536284,9.37503943134693,9.36194377373524,9.19229281447077,8.15987133677839,9.04712391211403,8.72451385311995,8.06608919045777,8.62205181945638,8.67948009950545,8.17990909001493,7.60733031374961,8.3037807481771,8.34872815423108,8.3264294871223,9.47167521439204,9.49785183695112,8.56605403817109,8.4178525148859,8.61102479730735,8.79766152585376,9.80574387215162,9,9.01680828768655,7.93663793900257,9.22881869049588,8.87958324961278,7.467605550083,8.2045711442492,6.85798099512757,7.61470984411521,8.37068740680722,8.64385618977473
"LOC102656563",7.33985000288462,8.5077946401987,7.02236781302845,7.62935662007961,8.26209484537018,9.26912667914942,7.8008998999203,8.16992500144231,6.59991284218713,7.75488750216347,7.66533591718518,8.10852445677817,7.78790255939143,7.14974711950468,7.21916852046216,7,7.4093909361377,7.4178525148859,4.85798099512757,5.16992500144231,4,4.24792751344359,4.85798099512757,4.39231742277876,6.2667865406949,8.28540221886225,6.16992500144231,5.64385618977472,6.70043971814109,4.52356195605701,4.39231742277876,3.8073549220576,4.39231742277876,4.90689059560852,5.08746284125034,4.4594316186373
"LOC726286",9.19475685442225,9.40514146313634,8.95710204156229,9.3151495622563,9.14465824283188,8.19967234483636,10.7623820387104,11.1823943534045,10.0861362250273,10.3901689562002,10.8352609186275,10.7465143211385,8.5352753766208,8.63662462054365,8.6724253419715,8.40514146313634,9.04439411935845,8.66533591718518,11.3799198176465,10.7632123668144,11.3320365483617,10.8089641749193,11.0647427647503,10.940313597146,8.97154355395077,9.62388149001346,9.41574176829009,9.6724253419715,9.56985560833095,9.04165915163721,8.98013957763916,8.98013957763916,9.46964181723952,8.90689059560852,9.34429590791582,9.04439411935845
"LOC411997",7.44294349584873,7.79441586635011,7.57742882803575,7.83289001416474,7.86418614465428,7.52356195605701,8.08214904135387,8.4178525148859,7.62935662007961,8.40514146313634,8.63299519714296,8.40087943628218,7.31288295528436,7.59991284218713,7.14974711950468,6.97727992349992,7.55458885167764,7.75488750216347,8.32192809488736,7.96000193206808,8.68650052718322,8.35314682549808,8.29001884693262,8.37068740680722,8.14974711950468,7.90086680798075,8.04439411935845,8.03342300153745,8.01680828768655,7.99435343685886,7.73470962022584,7.9188632372746,7.33985000288462,7.4757334309664,7.56985560833095,7.52356195605701
"LOC413746",8.91587937883577,9.02513956227851,9.02513956227851,9.33985000288462,9.48784003382305,9.3264294871223,8.5274770060604,8.31288295528435,8.54689445988764,8.66177809777199,8.68650052718322,8.93957921431469,9.22881869049588,9.31741261376487,9.20212382383046,9.43462822763673,9.5274770060604,9.467605550083,8.10852445677817,7.12928301694497,7.57742882803575,8.31741261376487,7.6724253419715,7.7279204545632,8.98013957763916,9.00842862207058,9.03342300153745,9.25266543245025,9.2667865406949,9.14720492494223,9.15987133677839,9.17242750864548,8.63299519714296,8.5077946401987,8.82017896241519,8.59245703726808
"LOC100577164",5.95419631038687,6.10852445677817,6.83289001416474,5.75488750216347,5.24792751344359,5.49185309632967,5.35755200461808,4.24792751344359,5.52356195605701,4.24792751344359,4.16992500144231,4.16992500144231,6.32192809488736,5.55458885167764,5.95419631038687,5.39231742277876,5.49185309632967,5.49185309632967,4.75488750216347,4.95419631038687,4.75488750216347,3.58496250072116,2.58496250072116,3.58496250072116,5.8073549220576,6.10852445677817,5.04439411935845,4.85798099512757,5.70043971814109,6.18982455888002,4.90689059560852,4.85798099512757,3.8073549220576,5.20945336562895,4.16992500144231,4.24792751344359
